                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.5673,                0.42243,                 1.0557,                0.83135,                0.79753,                0.86513,                0.58538,                  1.257,                 0.7975,                 1.6848,              0.0033185,              0.0033185,              0.0033185
                      1,                0.59725,                 0.4374,                 1.0699,                0.83264,                0.78965,                 0.8507,                0.56733,                 1.3075,                0.81135,                 1.7458,              0.0066386,              0.0066386,              0.0066386
                      2,                 0.6335,                0.47931,                  1.088,                0.78764,                 0.7784,                0.82251,                0.52734,                 1.3623,                0.86685,                 1.8281,              0.0099456,              0.0099456,              0.0099456
                      3,                0.69917,                0.52685,                 1.1224,                  0.808,                0.76828,                0.82948,                0.52041,                 1.3463,                0.87427,                 1.7599,              0.0099406,              0.0099406,              0.0099406
                      4,                0.73297,                0.56068,                  1.149,                 0.8128,                0.76678,                0.83124,                0.52846,                  1.336,                0.85373,                 1.7697,              0.0099406,              0.0099406,              0.0099406
                      5,                0.73228,                0.55908,                 1.1481,                0.77895,                 0.7964,                 0.8359,                0.52048,                 1.3723,                0.84392,                 1.8152,              0.0099208,              0.0099208,              0.0099208
                      6,                  0.739,                0.55809,                 1.1498,                0.80094,                 0.7784,                0.83811,                0.52241,                   1.33,                 0.8459,                 1.7448,               0.009901,               0.009901,               0.009901
                      7,                0.74917,                 0.5747,                 1.1511,                0.78819,                0.76828,                0.82946,                0.50908,                 1.4111,                 0.8658,                 1.8243,              0.0098812,              0.0098812,              0.0098812
                      8,                0.75442,                0.57715,                 1.1612,                 0.8237,                 0.7568,                0.83017,                0.52697,                 1.3433,                0.83526,                 1.7235,              0.0098614,              0.0098614,              0.0098614
                      9,                0.74461,                0.56763,                 1.1484,                0.79885,                 0.7874,                0.83819,                0.52154,                 1.3638,                0.84113,                 1.7611,              0.0098416,              0.0098416,              0.0098416
                     10,                0.74346,                0.56309,                  1.151,                 0.8226,                0.76715,                0.84029,                0.53091,                  1.368,                0.83406,                 1.7882,              0.0098218,              0.0098218,              0.0098218
                     11,                0.74279,                0.57248,                 1.1497,                 0.8069,                0.76715,                0.81706,                0.52945,                 1.3198,                0.85647,                  1.748,               0.009802,               0.009802,               0.009802
                     12,                0.73382,                0.56722,                 1.1438,                0.83076,                0.77302,                0.84298,                0.53377,                 1.3315,                0.83227,                 1.7539,              0.0097822,              0.0097822,              0.0097822
                     13,                0.74168,                0.57067,                 1.1554,                0.79712,                0.76378,                0.82096,                0.52302,                 1.3222,                0.88602,                 1.7465,              0.0097624,              0.0097624,              0.0097624
                     14,                0.73932,                 0.5585,                 1.1509,                0.81017,                0.77953,                0.83066,                0.53081,                 1.3428,                0.85023,                 1.7606,              0.0097426,              0.0097426,              0.0097426
                     15,                0.73892,                0.56032,                 1.1487,                0.79558,                0.77489,                0.82633,                0.52777,                 1.3618,                0.83634,                 1.7855,              0.0097228,              0.0097228,              0.0097228
                     16,                0.73919,                0.55808,                 1.1464,                0.80804,                0.79075,                0.82682,                0.52221,                 1.3272,                0.83248,                  1.748,               0.009703,               0.009703,               0.009703
