                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8252,                 2.2717,                  2.033,                0.06207,                0.06881,                0.02697,                0.00709,                 2.6437,                 78.219,                 4.1796,             0.00066253,             0.00066253,             0.00066253
                      1,                 2.0032,                 2.3697,                  2.166,                0.17978,                0.20795,                0.10849,                0.03207,                 2.5002,                 6.2022,                 2.8905,              0.0013159,              0.0013159,              0.0013159
                      2,                 1.9263,                   2.22,                 2.0482,                0.36866,                0.39644,                0.28449,                 0.0935,                 2.2222,                 3.1038,                 2.6277,               0.001956,               0.001956,               0.001956
                      3,                 1.8584,                 2.0611,                  1.981,                0.36756,                0.46636,                0.30631,                0.11783,                 1.9649,                 2.4471,                  2.249,              0.0019401,              0.0019401,              0.0019401
                      4,                 1.7643,                 1.9107,                 1.9014,                0.38407,                0.32722,                0.31663,                0.12098,                 2.3251,                  2.548,                 2.7199,              0.0019401,              0.0019401,              0.0019401
                      5,                 1.7432,                  1.917,                 1.8821,                0.61338,                0.52905,                0.59827,                0.25793,                 1.9404,                 1.8154,                  2.157,              0.0019201,              0.0019201,              0.0019201
                      6,                 1.7132,                 1.8171,                 1.8471,                0.69874,                0.52905,                0.61194,                0.27818,                 1.8293,                 1.8925,                 2.0905,              0.0019001,              0.0019001,              0.0019001
                      7,                   1.65,                 1.7367,                 1.8096,                0.60149,                0.57187,                0.56927,                0.25275,                 1.8187,                 1.7606,                 2.0588,              0.0018801,              0.0018801,              0.0018801
                      8,                 1.6253,                 1.6768,                 1.7925,                0.61589,                0.56145,                0.59466,                0.30054,                 1.7368,                 1.8347,                  1.998,              0.0018601,              0.0018601,              0.0018601
                      9,                 1.6145,                 1.6734,                 1.7831,                0.67408,                0.59939,                0.66296,                0.32813,                 1.7568,                 1.6248,                 1.9986,              0.0018402,              0.0018402,              0.0018402
                     10,                 1.6137,                 1.6476,                 1.7646,                0.69527,                0.54434,                0.63672,                0.31031,                 1.7711,                 1.6291,                 2.0201,              0.0018202,              0.0018202,              0.0018202
                     11,                 1.6032,                 1.6188,                  1.767,                0.64848,                0.49081,                0.57438,                0.27363,                  1.897,                 1.8077,                 2.0966,              0.0018002,              0.0018002,              0.0018002
                     12,                 1.5456,                 1.5285,                 1.7261,                0.70615,                0.62997,                0.68127,                0.34614,                  1.708,                 1.4503,                 1.9334,              0.0017802,              0.0017802,              0.0017802
                     13,                 1.5595,                 1.5265,                 1.7388,                0.65554,                0.64601,                0.70576,                0.37078,                 1.6084,                 1.5051,                 1.8828,              0.0017602,              0.0017602,              0.0017602
                     14,                 1.5339,                 1.4897,                  1.708,                0.68812,                0.65291,                0.69067,                0.36146,                 1.6425,                  1.507,                 1.9126,              0.0017403,              0.0017403,              0.0017403
                     15,                 1.5172,                 1.4357,                 1.6925,                0.65184,                0.63761,                0.65548,                0.32631,                 1.7304,                 1.5769,                 2.0138,              0.0017203,              0.0017203,              0.0017203
                     16,                 1.5267,                 1.4564,                 1.6984,                0.71234,                0.64679,                0.70516,                0.35597,                 1.7008,                 1.4214,                 1.9372,              0.0017003,              0.0017003,              0.0017003
                     17,                 1.5041,                 1.4246,                   1.68,                0.74504,                0.62691,                0.72725,                0.37647,                 1.6396,                 1.4084,                  1.895,              0.0016803,              0.0016803,              0.0016803
                     18,                 1.4984,                 1.4081,                 1.6896,                0.72211,                0.71101,                0.77034,                0.41581,                 1.5722,                 1.3012,                 1.8376,              0.0016603,              0.0016603,              0.0016603
                     19,                 1.4945,                 1.3549,                  1.666,                0.70944,                0.66827,                0.72234,                0.38694,                 1.5902,                 1.3225,                 1.8652,              0.0016404,              0.0016404,              0.0016404
                     20,                 1.4757,                 1.3456,                 1.6618,                0.76962,                 0.6422,                0.75265,                0.39853,                 1.6241,                   1.29,                 1.8593,              0.0016204,              0.0016204,              0.0016204
                     21,                 1.4628,                 1.3534,                 1.6538,                 0.7583,                 0.6682,                0.75263,                0.40451,                    1.6,                 1.3277,                 1.8691,              0.0016004,              0.0016004,              0.0016004
                     22,                 1.4636,                 1.3497,                 1.6568,                0.73893,                0.68807,                0.76914,                0.42242,                 1.6358,                 1.2562,                 1.8781,              0.0015804,              0.0015804,              0.0015804
                     23,                  1.453,                 1.3321,                  1.646,                 0.7741,                0.68116,                 0.7945,                 0.4338,                 1.5644,                 1.2454,                 1.8288,              0.0015604,              0.0015604,              0.0015604
                     24,                 1.4288,                 1.2789,                  1.625,                0.77463,                0.74465,                0.82059,                0.46164,                 1.5624,                 1.1453,                 1.8114,              0.0015405,              0.0015405,              0.0015405
                     25,                  1.404,                 1.2709,                 1.6022,                0.77876,                0.68355,                0.79516,                  0.439,                 1.5642,                 1.2151,                  1.823,              0.0015205,              0.0015205,              0.0015205
                     26,                 1.4222,                 1.2604,                 1.6211,                0.74291,                0.69572,                0.78044,                0.42949,                 1.5306,                 1.1782,                 1.8035,              0.0015005,              0.0015005,              0.0015005
                     27,                 1.4331,                 1.2571,                 1.6236,                0.74811,                0.75688,                0.80668,                0.44098,                 1.5653,                 1.1422,                 1.8146,              0.0014805,              0.0014805,              0.0014805
                     28,                  1.415,                 1.2459,                 1.6094,                0.76948,                0.69926,                0.79778,                0.44053,                 1.5639,                 1.1553,                 1.8036,              0.0014605,              0.0014605,              0.0014605
                     29,                 1.4156,                 1.2327,                 1.6183,                0.75725,                0.71713,                0.79968,                0.43079,                 1.5354,                  1.165,                 1.8041,              0.0014406,              0.0014406,              0.0014406
                     30,                 1.4109,                 1.2474,                 1.6188,                0.74739,                0.68349,                0.77823,                0.43811,                 1.5076,                 1.2017,                  1.765,              0.0014206,              0.0014206,              0.0014206
                     31,                 1.3925,                 1.2003,                  1.599,                0.78385,                0.72639,                0.79926,                0.44583,                  1.572,                  1.115,                 1.8266,              0.0014006,              0.0014006,              0.0014006
                     32,                 1.3629,                 1.1678,                  1.578,                0.77633,                0.73394,                 0.8199,                0.47399,                  1.495,                 1.1035,                 1.7587,              0.0013806,              0.0013806,              0.0013806
                     33,                 1.3597,                 1.1594,                  1.574,                0.77519,                0.74871,                0.81117,                 0.4525,                 1.5289,                 1.0538,                 1.7773,              0.0013606,              0.0013606,              0.0013606
                     34,                 1.3611,                 1.1704,                  1.583,                0.78736,                0.70771,                0.82115,                0.45771,                   1.53,                 1.0894,                 1.7817,              0.0013407,              0.0013407,              0.0013407
                     35,                 1.3729,                 1.1525,                 1.5837,                0.81557,                0.74379,                0.82563,                0.46761,                 1.5223,                 1.0282,                 1.7832,              0.0013207,              0.0013207,              0.0013207
                     36,                 1.3572,                 1.1442,                  1.565,                0.77837,                0.75229,                0.82637,                0.46608,                 1.5102,                 1.0283,                 1.7611,              0.0013007,              0.0013007,              0.0013007
                     37,                 1.3356,                 1.1228,                 1.5519,                0.78395,                0.72682,                0.81012,                0.45646,                 1.5448,                 1.0695,                 1.8271,              0.0012807,              0.0012807,              0.0012807
                     38,                  1.343,                  1.119,                 1.5473,                0.82366,                0.78593,                0.84909,                 0.4923,                 1.4812,                 1.0256,                 1.7521,              0.0012607,              0.0012607,              0.0012607
                     39,                 1.3382,                 1.0855,                 1.5518,                0.79386,                0.75535,                0.83817,                0.48085,                 1.4901,                0.97824,                 1.7232,              0.0012408,              0.0012408,              0.0012408
                     40,                 1.3217,                  1.085,                 1.5361,                0.75152,                0.78157,                0.82478,                0.47613,                 1.5156,                 1.0201,                 1.7833,              0.0012208,              0.0012208,              0.0012208
                     41,                 1.3049,                 1.0605,                 1.5292,                0.78121,                0.78746,                0.84596,                0.48836,                 1.5038,                0.99361,                 1.7694,              0.0012008,              0.0012008,              0.0012008
                     42,                 1.3211,                 1.0697,                 1.5413,                 0.7903,                0.77676,                0.82982,                0.48161,                 1.4723,                0.99257,                 1.7323,              0.0011808,              0.0011808,              0.0011808
                     43,                 1.3041,                 1.0621,                 1.5299,                0.85362,                0.74618,                0.83629,                 0.4786,                 1.4711,                0.97752,                 1.7394,              0.0011608,              0.0011608,              0.0011608
                     44,                 1.3182,                 1.0635,                 1.5356,                0.81455,                0.77982,                0.86278,                0.49287,                 1.4815,                0.98588,                 1.7308,              0.0011409,              0.0011409,              0.0011409
                     45,                 1.2949,                 1.0394,                 1.5186,                0.79945,                0.78631,                0.84201,                0.48752,                 1.4955,                0.96696,                  1.772,              0.0011209,              0.0011209,              0.0011209
                     46,                 1.2989,                 1.0469,                  1.529,                0.80092,                0.78135,                0.85669,                0.50397,                 1.4529,                0.95881,                 1.7178,              0.0011009,              0.0011009,              0.0011009
                     47,                 1.2772,                 1.0235,                 1.5035,                0.80719,                0.77829,                0.85131,                 0.4946,                   1.46,                0.96512,                 1.6977,              0.0010809,              0.0010809,              0.0010809
                     48,                 1.2637,                 1.0106,                 1.4949,                0.79583,                0.78673,                0.84866,                0.49582,                  1.433,                0.98055,                 1.6973,              0.0010609,              0.0010609,              0.0010609
                     49,                 1.2571,                0.99864,                 1.4946,                0.82651,                0.79969,                0.85434,                0.49864,                 1.4777,                0.94781,                 1.7516,               0.001041,               0.001041,               0.001041
                     50,                 1.2707,                 1.0034,                 1.4963,                 0.8231,                0.78259,                0.86119,                0.50807,                 1.4595,                0.94878,                 1.7102,               0.001021,               0.001021,               0.001021
                     51,                 1.2434,                0.98121,                 1.4756,                0.79588,                0.80486,                0.85925,                0.50699,                  1.453,                0.96338,                 1.7135,               0.001001,               0.001001,               0.001001
                     52,                 1.2352,                0.97466,                 1.4696,                0.82248,                0.81346,                0.86901,                 0.5083,                 1.5051,                0.95413,                 1.7659,             0.00098102,             0.00098102,             0.00098102
                     53,                 1.2398,                0.95327,                 1.4723,                0.82086,                0.81275,                0.85688,                0.49631,                 1.4535,                0.90479,                 1.7072,             0.00096104,             0.00096104,             0.00096104
                     54,                 1.2259,                0.96261,                 1.4659,                 0.8545,                0.77523,                0.85823,                0.51638,                 1.4535,                0.91364,                 1.7133,             0.00094106,             0.00094106,             0.00094106
                     55,                  1.216,                  0.942,                 1.4528,                0.85288,                0.80665,                0.85282,                0.50656,                 1.4769,                0.86676,                 1.7385,             0.00092108,             0.00092108,             0.00092108
                     56,                 1.2254,                0.94658,                 1.4681,                0.86915,                0.75155,                0.86192,                0.51031,                 1.4506,                0.88286,                 1.7087,              0.0009011,              0.0009011,              0.0009011
                     57,                 1.2055,                0.92738,                 1.4442,                0.80062,                0.82263,                0.87053,                0.51456,                 1.4456,                0.87151,                 1.7262,             0.00088112,             0.00088112,             0.00088112
                     58,                 1.1978,                0.91633,                  1.443,                0.86482,                 0.7728,                0.87106,                 0.5181,                 1.4754,                0.85753,                  1.731,             0.00086114,             0.00086114,             0.00086114
                     59,                 1.1959,                0.90731,                 1.4414,                0.82333,                0.79094,                0.85591,                0.51059,                 1.4904,                0.87371,                 1.7476,             0.00084116,             0.00084116,             0.00084116
                     60,                 1.1846,                0.90175,                 1.4297,                0.80358,                0.82263,                0.87532,                0.51069,                 1.4814,                0.88651,                 1.7382,             0.00082118,             0.00082118,             0.00082118
                     61,                 1.1957,                0.89628,                 1.4394,                0.82082,                0.84404,                0.88143,                0.52032,                 1.4651,                0.83373,                 1.7409,              0.0008012,              0.0008012,              0.0008012
                     62,                 1.1765,                0.88992,                 1.4239,                0.81136,                0.83486,                0.88963,                0.52271,                 1.4501,                0.82513,                 1.7262,             0.00078122,             0.00078122,             0.00078122
                     63,                 1.1541,                0.87371,                 1.4132,                0.85784,                0.80271,                0.87908,                0.52615,                 1.4552,                0.81757,                  1.719,             0.00076124,             0.00076124,             0.00076124
                     64,                 1.1596,                0.86679,                  1.408,                0.82671,                0.81699,                0.87042,                0.51265,                 1.4713,                0.83756,                 1.7484,             0.00074126,             0.00074126,             0.00074126
