                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.899,                 2.4213,                 2.1091,                0.05971,                 0.0948,                0.01634,                0.00374,                 3.5735,                 7.8826,                 4.5147,             0.00066138,             0.00066138,             0.00066138
                      1,                 2.0865,                 2.5873,                    2.3,                 0.0042,                0.62538,                0.00346,                0.00102,                 3.2146,                    inf,                 18.309,              0.0013148,              0.0013148,              0.0013148
                      2,                 2.0808,                 2.5896,                  2.257,                0.28024,                0.31651,                 0.2156,                0.06441,                 2.3784,                 5.7646,                  2.765,              0.0019549,              0.0019549,              0.0019549
                      3,                 1.9812,                 2.4818,                 2.1769,                0.26034,                0.29205,                0.17392,                0.06218,                 2.2197,                 2.7142,                 2.4916,              0.0019401,              0.0019401,              0.0019401
                      4,                 1.9178,                 2.3707,                 2.1398,                0.26553,                0.27676,                0.21368,                 0.0848,                 2.1989,                 2.5747,                 2.4174,              0.0019401,              0.0019401,              0.0019401
                      5,                 1.8783,                 2.3169,                 2.0824,                0.47971,                0.44343,                0.41677,                0.16995,                 1.9929,                 2.5955,                 2.3021,              0.0019201,              0.0019201,              0.0019201
                      6,                 1.8705,                 2.2666,                 2.0723,                0.43086,                0.46636,                0.39753,                0.17989,                 1.9432,                 2.0476,                 2.1967,              0.0019001,              0.0019001,              0.0019001
                      7,                  1.845,                 2.2204,                 2.0553,                0.52741,                0.56575,                0.51718,                0.22814,                 1.8331,                  2.072,                 2.1615,              0.0018801,              0.0018801,              0.0018801
                      8,                 1.7997,                 2.1625,                 2.0274,                0.53591,                0.51376,                0.51764,                0.24576,                 1.7112,                  2.378,                 2.0321,              0.0018601,              0.0018601,              0.0018601
                      9,                 1.7768,                 2.1064,                 1.9937,                0.54801,                0.50917,                0.50783,                0.23788,                 1.8518,                 2.0177,                 2.1657,              0.0018402,              0.0018402,              0.0018402
