                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7645,                 2.2277,                 1.9123,                 0.0064,                0.12538,                0.00202,                0.00047,                 4.3609,                    inf,                 16.466,             0.00065844,             0.00065844,             0.00065844
                      1,                 2.0561,                 2.4483,                 2.2174,                 0.0031,                0.75535,                0.00271,                0.00082,                 3.3063,                    inf,                 27.962,              0.0013119,              0.0013119,              0.0013119
                      2,                 1.9908,                 2.3848,                 2.1658,                0.27765,                0.34404,                 0.2253,                0.07668,                 2.4811,                  3.585,                 2.8531,               0.001952,               0.001952,               0.001952
                      3,                 1.9373,                 2.3219,                 2.1171,                0.22825,                0.35933,                0.20504,                 0.0653,                 2.2542,                 5.4773,                 2.4361,              0.0019401,              0.0019401,              0.0019401
                      4,                 1.8788,                 2.2386,                  2.077,                0.33798,                0.30887,                0.26618,                0.09799,                 2.4607,                 3.8104,                 2.9571,              0.0019401,              0.0019401,              0.0019401
                      5,                 1.8463,                 2.1925,                 2.0325,                0.40464,                0.47095,                0.40246,                0.16831,                 2.0308,                 2.4181,                 2.2588,              0.0019201,              0.0019201,              0.0019201
                      6,                  1.816,                  2.114,                 1.9959,                0.59165,                 0.5317,                0.56513,                0.25623,                  1.799,                 2.4047,                 2.0421,              0.0019001,              0.0019001,              0.0019001
                      7,                 1.7859,                 2.0556,                  1.975,                0.61522,                0.49629,                0.53346,                0.23586,                 1.9168,                 2.1811,                 2.1978,              0.0018801,              0.0018801,              0.0018801
                      8,                 1.7485,                 2.0134,                 1.9526,                0.61137,                0.58869,                0.57881,                0.28895,                 1.7076,                 1.8688,                 1.9785,              0.0018601,              0.0018601,              0.0018601
                      9,                 1.7313,                 1.9686,                 1.9376,                0.60519,                 0.5107,                0.57588,                0.27704,                 1.8373,                 1.9155,                 2.0884,              0.0018402,              0.0018402,              0.0018402
                     10,                 1.7371,                 1.9707,                 1.9509,                0.66392,                0.55657,                0.59691,                0.28502,                 1.8532,                 2.0136,                 2.1797,              0.0018202,              0.0018202,              0.0018202
                     11,                 1.7072,                 1.9188,                 1.9124,                 0.7079,                0.58921,                0.66787,                 0.3303,                 1.7191,                 1.6843,                 1.9612,              0.0018002,              0.0018002,              0.0018002
                     12,                 1.6851,                 1.8909,                 1.9061,                 0.7167,                 0.6208,                0.70407,                0.35956,                 1.7495,                 1.5346,                 2.0319,              0.0017802,              0.0017802,              0.0017802
                     13,                  1.674,                 1.8425,                  1.888,                0.70068,                0.58104,                0.64633,                0.31714,                  1.816,                 1.7494,                 2.1311,              0.0017602,              0.0017602,              0.0017602
                     14,                 1.6452,                 1.8027,                 1.8583,                0.71793,                0.67125,                0.73425,                0.37943,                 1.6651,                 1.4848,                  1.937,              0.0017403,              0.0017403,              0.0017403
                     15,                 1.6609,                 1.8035,                 1.8755,                 0.6761,                0.69725,                0.71534,                0.38138,                 1.5729,                 1.5553,                 1.9023,              0.0017203,              0.0017203,              0.0017203
                     16,                 1.6593,                 1.8116,                 1.8818,                0.74525,                0.62232,                0.71484,                0.36349,                 1.7058,                 1.5373,                   1.98,              0.0017003,              0.0017003,              0.0017003
                     17,                 1.6327,                 1.7566,                 1.8621,                0.75831,                0.64985,                0.75507,                 0.4076,                  1.645,                 1.4413,                 1.9119,              0.0016803,              0.0016803,              0.0016803
                     18,                 1.6232,                 1.7431,                 1.8424,                0.80734,                0.63761,                0.75783,                0.40574,                 1.6142,                 1.4247,                 1.9101,              0.0016603,              0.0016603,              0.0016603
                     19,                 1.6066,                 1.7141,                 1.8169,                0.71485,                 0.6422,                 0.7342,                0.37987,                 1.7067,                 1.4707,                 1.9775,              0.0016404,              0.0016404,              0.0016404
                     20,                 1.6334,                 1.7181,                 1.8552,                0.73452,                 0.7263,                0.79949,                0.43577,                 1.5562,                 1.3359,                  1.834,              0.0016204,              0.0016204,              0.0016204
                     21,                 1.5959,                 1.6724,                 1.8094,                0.73103,                0.66076,                0.72353,                0.38982,                 1.5764,                 1.3777,                 1.8544,              0.0016004,              0.0016004,              0.0016004
                     22,                 1.6188,                 1.6863,                 1.8431,                0.78128,                0.65291,                0.75196,                0.38853,                 1.7202,                  1.284,                 1.9954,              0.0015804,              0.0015804,              0.0015804
                     23,                 1.6009,                 1.6863,                 1.8144,                0.70617,                0.65902,                0.70525,                0.37221,                 1.6096,                 1.6063,                 1.9351,              0.0015604,              0.0015604,              0.0015604
                     24,                 1.5762,                 1.6156,                 1.8037,                0.76598,                0.67737,                0.77117,                0.42057,                 1.5611,                 1.2493,                 1.8439,              0.0015405,              0.0015405,              0.0015405
                     25,                  1.585,                 1.6402,                 1.8165,                0.80333,                0.66361,                0.77514,                0.42937,                  1.559,                 1.2746,                 1.8537,              0.0015205,              0.0015205,              0.0015205
                     26,                 1.5835,                 1.6295,                 1.8081,                0.78048,                 0.7156,                0.79708,                0.43017,                 1.5951,                 1.2188,                 1.8647,              0.0015005,              0.0015005,              0.0015005
                     27,                  1.572,                 1.6281,                 1.7996,                0.77909,                0.70795,                0.80228,                0.45941,                 1.5295,                 1.2405,                 1.8481,              0.0014805,              0.0014805,              0.0014805
                     28,                  1.568,                 1.5989,                 1.7868,                0.77211,                0.69725,                0.78273,                0.42838,                 1.5205,                 1.3086,                 1.7974,              0.0014605,              0.0014605,              0.0014605
                     29,                 1.5675,                 1.6159,                 1.7955,                0.74437,                0.70795,                0.77703,                0.43974,                 1.5756,                 1.3012,                   1.88,              0.0014406,              0.0014406,              0.0014406
                     30,                 1.5567,                 1.5998,                  1.787,                0.81423,                0.68502,                0.80326,                0.45513,                 1.4912,                  1.232,                 1.7924,              0.0014206,              0.0014206,              0.0014206
                     31,                 1.5508,                 1.5702,                 1.7829,                0.78825,                0.71101,                0.81492,                 0.4404,                  1.566,                 1.1822,                 1.8233,              0.0014006,              0.0014006,              0.0014006
                     32,                 1.5494,                 1.5645,                 1.7781,                0.71481,                0.66667,                0.76022,                0.42706,                 1.5416,                 1.2795,                 1.7982,              0.0013806,              0.0013806,              0.0013806
                     33,                 1.5231,                 1.5355,                 1.7479,                0.81248,                0.69562,                0.81443,                0.44998,                 1.5952,                 1.1898,                  1.852,              0.0013606,              0.0013606,              0.0013606
                     34,                  1.525,                 1.5412,                 1.7656,                0.81468,                0.72324,                0.82665,                0.45993,                 1.5587,                 1.1922,                  1.845,              0.0013407,              0.0013407,              0.0013407
                     35,                 1.5283,                 1.5351,                 1.7561,                0.83311,                0.71749,                0.83121,                0.49401,                   1.47,                 1.1271,                 1.7586,              0.0013207,              0.0013207,              0.0013207
                     36,                 1.5134,                 1.4914,                 1.7459,                0.78663,                0.75841,                0.83082,                0.48587,                 1.4867,                  1.095,                 1.7681,              0.0013007,              0.0013007,              0.0013007
                     37,                 1.4957,                 1.4787,                 1.7362,                0.79151,                0.77982,                0.84134,                0.49018,                 1.4906,                 1.0615,                 1.7819,              0.0012807,              0.0012807,              0.0012807
                     38,                 1.5119,                 1.4786,                 1.7494,                0.74851,                0.72171,                0.80252,                0.45532,                 1.5168,                 1.2225,                 1.8117,              0.0012607,              0.0012607,              0.0012607
                     39,                 1.5022,                 1.4673,                 1.7314,                0.84991,                0.73599,                0.84141,                0.48233,                 1.4773,                0.99774,                 1.7587,              0.0012408,              0.0012408,              0.0012408
                     40,                 1.5031,                 1.4676,                 1.7379,                0.76718,                0.76147,                0.83554,                0.49164,                 1.4514,                 1.1104,                 1.7214,              0.0012208,              0.0012208,              0.0012208
                     41,                  1.491,                 1.4503,                 1.7281,                0.81396,                0.75596,                0.83955,                0.48618,                 1.4896,                 1.1564,                 1.7855,              0.0012008,              0.0012008,              0.0012008
                     42,                 1.5043,                  1.435,                 1.7307,                0.81061,                0.76571,                0.83979,                0.48381,                 1.4776,                 1.2031,                 1.7963,              0.0011808,              0.0011808,              0.0011808
                     43,                 1.5041,                 1.4537,                 1.7467,                0.78518,                0.74924,                0.82756,                0.47084,                 1.5408,                 1.1596,                  1.817,              0.0011608,              0.0011608,              0.0011608
                     44,                  1.484,                 1.4388,                 1.7199,                 0.7782,                0.79205,                0.83751,                0.48123,                 1.4772,                 1.1268,                 1.7743,              0.0011409,              0.0011409,              0.0011409
                     45,                 1.4645,                 1.4313,                 1.7113,                0.83087,                0.75382,                0.83705,                 0.4827,                 1.5289,                 1.1548,                 1.7951,              0.0011209,              0.0011209,              0.0011209
                     46,                  1.478,                 1.4185,                 1.7187,                0.80812,                0.79205,                0.85477,                0.50466,                 1.4557,                 1.0354,                 1.7388,              0.0011009,              0.0011009,              0.0011009
                     47,                 1.4789,                 1.4009,                 1.7192,                 0.8112,                0.73853,                0.82965,                0.47827,                 1.5157,                 1.1866,                 1.8106,              0.0010809,              0.0010809,              0.0010809
                     48,                 1.4686,                 1.4117,                 1.7099,                0.79427,                0.81651,                0.85622,                0.50653,                 1.4186,                 1.0635,                  1.709,              0.0010609,              0.0010609,              0.0010609
                     49,                 1.4489,                  1.357,                 1.6905,                0.78846,                0.78899,                0.82886,                0.48946,                 1.4339,                 1.0982,                 1.7417,               0.001041,               0.001041,               0.001041
                     50,                 1.4496,                 1.3696,                 1.6951,                0.84135,                0.77217,                0.85743,                0.50137,                 1.4608,                 1.0807,                 1.7484,               0.001021,               0.001021,               0.001021
                     51,                  1.459,                 1.3634,                 1.6949,                0.77195,                0.80228,                0.84686,                0.49869,                  1.468,                 1.0018,                 1.7526,               0.001001,               0.001001,               0.001001
                     52,                 1.4274,                 1.3567,                  1.672,                0.82983,                0.78294,                0.87462,                0.51598,                  1.459,                  1.073,                 1.7529,             0.00098102,             0.00098102,             0.00098102
                     53,                 1.4329,                 1.3449,                 1.6786,                 0.8631,                0.77982,                0.89309,                0.52613,                 1.4258,                0.88276,                 1.6988,             0.00096104,             0.00096104,             0.00096104
                     54,                 1.4355,                 1.3303,                 1.6701,                0.81006,                0.78903,                 0.8553,                0.50723,                 1.4404,                 1.0665,                 1.7506,             0.00094106,             0.00094106,             0.00094106
                     55,                 1.4206,                 1.3048,                 1.6632,                0.80556,                0.78552,                0.84918,                0.50482,                 1.4746,                 1.1147,                 1.7838,             0.00092108,             0.00092108,             0.00092108
                     56,                 1.4214,                 1.3016,                 1.6608,                0.80065,                0.81677,                0.86783,                0.50763,                 1.4323,                  1.032,                 1.7066,              0.0009011,              0.0009011,              0.0009011
                     57,                 1.4038,                  1.297,                  1.647,                0.83782,                0.79778,                0.86746,                0.50904,                 1.4689,                 1.0149,                 1.7288,             0.00088112,             0.00088112,             0.00088112
                     58,                 1.4157,                 1.3058,                 1.6617,                0.82684,                0.81772,                0.88445,                0.52893,                  1.404,                0.90256,                 1.6924,             0.00086114,             0.00086114,             0.00086114
                     59,                 1.4179,                 1.2943,                 1.6623,                0.81248,                0.78899,                0.84715,                0.50212,                 1.4601,                0.94732,                 1.7386,             0.00084116,             0.00084116,             0.00084116
                     60,                 1.4159,                 1.2876,                 1.6587,                0.80019,                0.82263,                0.85618,                0.50257,                 1.4489,                0.94872,                 1.7256,             0.00082118,             0.00082118,             0.00082118
                     61,                 1.3928,                 1.2747,                 1.6538,                0.81066,                0.82569,                0.86748,                0.51492,                 1.4551,                 1.0017,                  1.737,              0.0008012,              0.0008012,              0.0008012
                     62,                 1.4086,                 1.2695,                 1.6535,                0.80166,                0.82875,                0.86229,                0.51335,                 1.4256,                0.97759,                 1.7202,             0.00078122,             0.00078122,             0.00078122
                     63,                 1.3971,                 1.2564,                 1.6437,                0.86015,                0.78287,                 0.8766,                 0.5309,                  1.445,                  0.992,                 1.7448,             0.00076124,             0.00076124,             0.00076124
                     64,                 1.4092,                 1.2721,                  1.654,                0.79945,                0.81677,                0.85236,                 0.5147,                 1.4524,                 1.0236,                 1.7561,             0.00074126,             0.00074126,             0.00074126
                     65,                 1.3978,                 1.2689,                 1.6381,                 0.8056,                0.82875,                0.87598,                0.53402,                 1.4239,                 1.0768,                 1.7247,             0.00072128,             0.00072128,             0.00072128
                     66,                 1.3857,                  1.268,                 1.6405,                0.83359,                0.79969,                0.87668,                0.52664,                 1.4397,                0.94152,                 1.7142,              0.0007013,              0.0007013,              0.0007013
                     67,                 1.3743,                 1.2479,                  1.633,                0.80177,                0.84557,                0.88436,                0.52677,                 1.4016,                0.92691,                 1.6684,             0.00068132,             0.00068132,             0.00068132
                     68,                 1.3704,                 1.2125,                 1.6184,                0.81325,                0.81234,                0.87173,                0.52109,                 1.4286,                0.98665,                 1.7076,             0.00066134,             0.00066134,             0.00066134
                     69,                 1.3677,                 1.2231,                 1.6205,                0.83658,                0.80122,                0.88668,                0.53974,                 1.4123,                0.96862,                 1.7049,             0.00064136,             0.00064136,             0.00064136
                     70,                  1.355,                 1.2136,                 1.6168,                0.81284,                0.83672,                0.88536,                0.53324,                  1.425,                0.87204,                 1.7179,             0.00062138,             0.00062138,             0.00062138
                     71,                 1.3712,                 1.2171,                  1.629,                 0.8386,                0.82621,                0.88114,                0.51781,                 1.4386,                0.87909,                 1.7139,              0.0006014,              0.0006014,              0.0006014
                     72,                 1.3558,                 1.2019,                 1.6064,                0.82562,                0.83253,                0.88495,                0.52797,                 1.4561,                0.90782,                 1.7196,             0.00058142,             0.00058142,             0.00058142
                     73,                 1.3493,                 1.2026,                 1.6061,                0.81121,                0.77064,                0.85729,                0.50219,                 1.4769,                 1.0426,                 1.7506,             0.00056144,             0.00056144,             0.00056144
                     74,                 1.3465,                 1.1935,                 1.6034,                0.87215,                 0.8104,                0.89156,                0.53135,                 1.4476,                0.88878,                 1.7076,             0.00054146,             0.00054146,             0.00054146
                     75,                 1.3465,                 1.1768,                 1.5968,                0.85931,                0.80318,                0.89404,                0.55149,                 1.4058,                0.92335,                 1.6718,             0.00052148,             0.00052148,             0.00052148
                     76,                 1.3408,                 1.1679,                 1.5901,                0.86661,                0.83945,                0.90289,                0.55594,                  1.351,                0.90695,                 1.6272,              0.0005015,              0.0005015,              0.0005015
                     77,                  1.336,                 1.1899,                    1.6,                0.85986,                0.84098,                0.89004,                0.54269,                 1.3958,                0.87432,                 1.6791,             0.00048152,             0.00048152,             0.00048152
                     78,                 1.3328,                 1.1615,                 1.5896,                0.86942,                0.83485,                0.90196,                  0.551,                 1.4101,                0.83856,                 1.6787,             0.00046154,             0.00046154,             0.00046154
                     79,                 1.3209,                 1.1567,                 1.5869,                 0.8714,                 0.8185,                0.90168,                0.55745,                 1.4041,                 0.8582,                  1.668,             0.00044156,             0.00044156,             0.00044156
                     80,                 1.3343,                 1.1424,                 1.5918,                 0.8808,                0.82483,                0.90794,                 0.5516,                 1.3865,                0.81815,                 1.6655,             0.00042158,             0.00042158,             0.00042158
                     81,                 1.3081,                 1.1255,                 1.5723,                0.84817,                0.87309,                0.90387,                0.54985,                 1.4346,                0.82666,                 1.7166,              0.0004016,              0.0004016,              0.0004016
                     82,                 1.3264,                 1.1479,                 1.5848,                0.87591,                0.83106,                0.90357,                0.55912,                 1.4043,                0.89146,                 1.6834,             0.00038162,             0.00038162,             0.00038162
                     83,                 1.3136,                 1.1224,                 1.5696,                0.85157,                0.85093,                0.90846,                 0.5553,                 1.3935,                0.82433,                 1.6577,             0.00036164,             0.00036164,             0.00036164
                     84,                 1.3019,                 1.1232,                 1.5693,                0.84449,                0.88226,                0.91365,                0.55875,                 1.4257,                 0.8305,                 1.6948,             0.00034166,             0.00034166,             0.00034166
                     85,                 1.3066,                 1.1281,                 1.5693,                0.85661,                0.86775,                 0.9123,                0.56214,                 1.3833,                0.85615,                 1.6603,             0.00032168,             0.00032168,             0.00032168
                     86,                 1.3051,                 1.1301,                 1.5751,                0.87696,                0.84862,                0.90396,                0.55264,                 1.3869,                0.81923,                 1.6542,              0.0003017,              0.0003017,              0.0003017
                     87,                 1.3169,                 1.1224,                 1.5793,                0.86858,                0.85474,                0.90964,                0.55718,                 1.3832,                0.84317,                 1.6367,             0.00028172,             0.00028172,             0.00028172
                     88,                 1.2846,                 1.0946,                 1.5525,                0.86128,                0.86394,                0.91543,                0.55762,                 1.3754,                0.79847,                 1.6412,             0.00026174,             0.00026174,             0.00026174
                     89,                 1.3002,                 1.1171,                 1.5666,                 0.8808,                0.85933,                0.91686,                0.56443,                 1.3762,                0.81338,                 1.6432,             0.00024176,             0.00024176,             0.00024176
                     90,                 1.2852,                 1.0805,                 1.5437,                0.86706,                0.86391,                  0.913,                0.56485,                 1.3746,                0.79727,                 1.6439,             0.00022178,             0.00022178,             0.00022178
                     91,                 1.2922,                 1.0926,                 1.5574,                0.85458,                0.87309,                0.91085,                0.56892,                 1.3389,                0.78749,                 1.6287,              0.0002018,              0.0002018,              0.0002018
                     92,                 1.2816,                 1.0804,                 1.5448,                0.86778,                0.85302,                0.91117,                0.56463,                 1.3852,                0.79109,                 1.6611,             0.00018182,             0.00018182,             0.00018182
                     93,                 1.2872,                 1.0887,                 1.5537,                0.86584,                0.86841,                0.91324,                 0.5688,                 1.3804,                0.77722,                 1.6665,             0.00016184,             0.00016184,             0.00016184
                     94,                 1.2752,                 1.0673,                 1.5421,                0.88208,                0.85781,                0.90949,                0.56614,                 1.3502,                0.77893,                 1.6318,             0.00014186,             0.00014186,             0.00014186
                     95,                 1.2674,                 1.0692,                 1.5427,                0.86708,                0.86781,                0.91103,                0.56651,                 1.3749,                0.79281,                 1.6503,             0.00012188,             0.00012188,             0.00012188
                     96,                 1.2639,                 1.0618,                 1.5402,                0.90006,                 0.8318,                0.90866,                0.56705,                 1.3788,                0.79733,                 1.6475,              0.0001019,              0.0001019,              0.0001019
                     97,                 1.2871,                  1.061,                 1.5456,                0.89273,                0.83985,                0.91317,                0.56906,                 1.3723,                0.80281,                 1.6463,              8.192e-05,              8.192e-05,              8.192e-05
                     98,                 1.2562,                 1.0576,                 1.5297,                0.86274,                 0.8578,                0.91305,                0.56915,                 1.3841,                0.78772,                 1.6568,              6.194e-05,              6.194e-05,              6.194e-05
                     99,                 1.2727,                 1.0634,                 1.5442,                0.87145,                0.85627,                0.90923,                0.57075,                 1.3718,                0.78046,                 1.6521,              4.196e-05,              4.196e-05,              4.196e-05
