                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6826,                 2.4402,                 1.8474,                0.54442,                0.09685,                0.33185,                0.16249,                 1.5879,                 3.5981,                 1.9601,                0.00054,                0.00054,                0.00054
                      1,                 1.6711,                  2.067,                 1.8145,                0.48528,                0.48471,                0.43689,                0.16919,                 1.9534,                 2.9796,                 2.5568,               0.001089,               0.001089,               0.001089
                      2,                 1.7499,                 2.0831,                 1.8897,                0.33076,                 0.3211,                0.24733,                0.07841,                 2.9385,                 7.3493,                 5.3329,              0.0016268,              0.0016268,              0.0016268
                      3,                 1.8098,                 2.1021,                 1.9331,                0.02627,                0.01682,                 0.0046,                0.00122,                 4.7452,                 6.8471,                 7.8402,              0.0019401,              0.0019401,              0.0019401
                      4,                 1.7841,                 2.0462,                 1.9325,                 0.2623,                0.33945,                0.17387,                0.04493,                 2.9568,                 10.407,                 4.4982,              0.0019401,              0.0019401,              0.0019401
                      5,                 1.7712,                 1.9647,                 1.9127,                0.38486,                0.26758,                0.20205,                0.06785,                 2.4502,                 2.9381,                 2.7827,              0.0019201,              0.0019201,              0.0019201
                      6,                 1.7384,                 1.9234,                 1.8852,                 0.5105,                0.49115,                0.46254,                0.18473,                 2.1615,                 2.8546,                 2.5369,              0.0019001,              0.0019001,              0.0019001
                      7,                 1.7266,                 1.8782,                 1.8778,                0.46401,                0.38226,                0.35876,                0.13945,                  2.242,                  2.266,                 2.4868,              0.0018801,              0.0018801,              0.0018801
                      8,                 1.7053,                 1.8565,                  1.862,                0.47867,                0.43731,                0.42004,                0.19542,                   2.11,                 2.0931,                 2.2824,              0.0018601,              0.0018601,              0.0018601
                      9,                  1.706,                 1.8287,                 1.8505,                0.35792,                0.26606,                0.24969,                0.11234,                 2.2618,                 3.4418,                 2.7134,              0.0018402,              0.0018402,              0.0018402
                     10,                 1.6649,                 1.8072,                 1.8338,                0.67636,                0.61927,                0.67927,                0.35146,                 1.7462,                 1.5367,                 1.9985,              0.0018202,              0.0018202,              0.0018202
                     11,                 1.6703,                 1.8064,                 1.8347,                0.72369,                0.60245,                0.65832,                0.30043,                 1.9157,                 1.7862,                 2.1947,              0.0018002,              0.0018002,              0.0018002
                     12,                 1.6479,                 1.7612,                 1.8183,                0.68668,                0.58309,                0.62481,                0.29066,                 1.9565,                 1.7673,                 2.3034,              0.0017802,              0.0017802,              0.0017802
                     13,                 1.6266,                 1.7423,                 1.8003,                0.72303,                0.56575,                0.65838,                  0.313,                 1.9132,                 1.6352,                 2.1089,              0.0017602,              0.0017602,              0.0017602
                     14,                 1.6246,                 1.7329,                 1.8039,                0.67486,                0.55223,                0.64846,                0.31636,                 1.8774,                 1.7192,                 2.0862,              0.0017403,              0.0017403,              0.0017403
                     15,                 1.6111,                 1.7118,                 1.8013,                0.80178,                 0.5948,                0.71227,                0.38432,                 1.7311,                 1.5794,                 1.9397,              0.0017203,              0.0017203,              0.0017203
                     16,                 1.6231,                 1.6926,                 1.7955,                0.72957,                0.65443,                0.73728,                0.38426,                 1.6823,                 1.4892,                 1.9098,              0.0017003,              0.0017003,              0.0017003
                     17,                  1.612,                 1.6839,                 1.7755,                0.63476,                0.49693,                0.55502,                0.28502,                 1.7508,                 1.8638,                 2.0391,              0.0016803,              0.0016803,              0.0016803
                     18,                 1.6095,                 1.6491,                 1.7689,                0.60536,                0.53976,                 0.5682,                0.27139,                 1.9509,                 1.9327,                  2.264,              0.0016603,              0.0016603,              0.0016603
                     19,                 1.5967,                 1.6572,                 1.7744,                0.73799,                0.61587,                0.72261,                0.37429,                 1.6001,                 1.6256,                 1.8274,              0.0016404,              0.0016404,              0.0016404
                     20,                 1.5974,                 1.6528,                 1.7732,                0.62581,                0.54215,                0.56162,                0.26299,                 1.8504,                 2.1394,                 2.1469,              0.0016204,              0.0016204,              0.0016204
                     21,                 1.5841,                 1.6393,                 1.7743,                0.76249,                0.70196,                0.78351,                0.41337,                 1.6135,                 1.3425,                 1.8538,              0.0016004,              0.0016004,              0.0016004
                     22,                  1.559,                 1.6064,                 1.7431,                0.65603,                0.62691,                0.67612,                0.34048,                 1.7117,                 1.5155,                  1.942,              0.0015804,              0.0015804,              0.0015804
                     23,                 1.5608,                 1.5997,                 1.7465,                0.69538,                0.67018,                0.73555,                0.39908,                 1.6036,                 1.2916,                 1.8218,              0.0015604,              0.0015604,              0.0015604
                     24,                  1.559,                 1.5981,                 1.7528,                0.75587,                0.61545,                0.70409,                0.34942,                 1.8224,                 1.4832,                 2.0855,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.5578,                 1.5763,                 1.7371,                0.68523,                0.64832,                0.69615,                0.38014,                 1.5458,                 1.5573,                 1.7992,              0.0015205,              0.0015205,              0.0015205
                     26,                  1.541,                 1.5651,                 1.7287,                0.72126,                0.66469,                0.72097,                0.37385,                 1.7145,                  1.378,                 2.0286,              0.0015005,              0.0015005,              0.0015005
                     27,                 1.5525,                 1.5605,                 1.7283,                0.69172,                0.70642,                0.72578,                0.38228,                 1.6673,                 1.3339,                 1.9805,              0.0014805,              0.0014805,              0.0014805
                     28,                 1.5518,                 1.5472,                 1.7281,                0.72191,                0.68349,                0.75651,                0.41517,                 1.5388,                 1.2806,                  1.761,              0.0014605,              0.0014605,              0.0014605
                     29,                 1.5367,                 1.5148,                 1.7054,                 0.7482,                0.66788,                0.73989,                0.40027,                 1.6574,                 1.3567,                 1.9069,              0.0014406,              0.0014406,              0.0014406
                     30,                 1.5259,                 1.5104,                 1.6989,                0.79584,                0.67584,                0.80197,                0.44979,                 1.5067,                 1.1917,                 1.7328,              0.0014206,              0.0014206,              0.0014206
                     31,                 1.5186,                 1.5011,                 1.6929,                0.80462,                0.63456,                0.75516,                0.42218,                 1.6638,                  1.641,                 1.8711,              0.0014006,              0.0014006,              0.0014006
                     32,                 1.5155,                 1.4928,                 1.6985,                 0.7206,                0.69011,                0.74443,                0.39907,                 1.6305,                 1.2807,                 1.8377,              0.0013806,              0.0013806,              0.0013806
                     33,                 1.5241,                 1.4852,                 1.6938,                0.72546,                0.67071,                0.75417,                0.40469,                  1.645,                 1.2518,                 1.8541,              0.0013606,              0.0013606,              0.0013606
                     34,                 1.5182,                 1.4804,                 1.6954,                0.77824,                0.64679,                0.75527,                0.42376,                  1.546,                 1.2618,                 1.7783,              0.0013407,              0.0013407,              0.0013407
                     35,                 1.4967,                 1.4717,                 1.6883,                0.77112,                0.72324,                0.81033,                0.44666,                 1.5253,                 1.1264,                 1.7571,              0.0013207,              0.0013207,              0.0013207
                     36,                 1.4935,                 1.4845,                  1.685,                0.77444,                0.61948,                0.71677,                0.36391,                 1.7541,                 1.4187,                  2.006,              0.0013007,              0.0013007,              0.0013007
                     37,                 1.5082,                 1.4936,                  1.692,                0.79602,                0.70795,                0.79471,                0.43798,                 1.5507,                 1.1679,                 1.8079,              0.0012807,              0.0012807,              0.0012807
                     38,                 1.4915,                 1.4436,                 1.6722,                0.78131,                0.78746,                0.85076,                0.47862,                 1.5591,                  1.036,                 1.7653,              0.0012607,              0.0012607,              0.0012607
                     39,                  1.489,                 1.4328,                 1.6736,                0.80372,                0.72018,                0.81907,                0.46143,                 1.5504,                 1.0297,                 1.7867,              0.0012408,              0.0012408,              0.0012408
