                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8134,                 2.9979,                 2.0177,                0.33448,                0.38532,                0.26859,                0.09553,                  2.541,                  4.739,                 3.0655,             0.00065217,             0.00065217,             0.00065217
                      1,                 1.8613,                 2.0913,                 2.0193,                0.03958,                0.02141,                0.00638,                0.00156,                 4.4785,                 5.8907,                 7.1346,              0.0013057,              0.0013057,              0.0013057
                      2,                 1.9702,                 2.2809,                 2.1106,                0.00101,                 0.0107,                0.00033,                  7e-05,                  4.781,                 73.123,                 17.093,              0.0019458,              0.0019458,              0.0019458
                      3,                 1.9401,                 2.2889,                 2.1195,                0.00426,                 0.0107,                 0.0004,                0.00019,                  4.932,                 9.8205,                 7.2272,              0.0019401,              0.0019401,              0.0019401
                      4,                 1.9081,                 2.2106,                 2.0508,                0.05359,                0.25688,                0.03497,                0.00988,                 2.5736,                 4.6832,                 3.1248,              0.0019401,              0.0019401,              0.0019401
                      5,                 1.8155,                 2.1422,                 2.0202,                0.30354,                0.36387,                 0.2846,                0.12448,                 2.2117,                 2.8349,                 2.6476,              0.0019201,              0.0019201,              0.0019201
                      6,                 1.7924,                 2.0483,                 1.9792,                0.41224,                0.36697,                0.33095,                0.13998,                 2.1491,                 2.5274,                 2.4221,              0.0019001,              0.0019001,              0.0019001
                      7,                 1.7714,                 2.0101,                 1.9568,                0.57732,                0.55505,                0.54294,                0.25337,                 1.8226,                 1.8262,                 2.1052,              0.0018801,              0.0018801,              0.0018801
                      8,                 1.7332,                 1.9703,                 1.9225,                0.42195,                0.42661,                0.35841,                0.15559,                 1.8892,                 2.5533,                 2.1441,              0.0018601,              0.0018601,              0.0018601
                      9,                 1.7202,                  1.924,                 1.9119,                0.66197,                0.52752,                0.60093,                0.27123,                  1.826,                 2.2793,                 2.1619,              0.0018402,              0.0018402,              0.0018402
                     10,                 1.7071,                 1.9074,                 1.9181,                0.53348,                0.42966,                0.42747,                0.18332,                 2.0341,                 2.3912,                 2.4506,              0.0018202,              0.0018202,              0.0018202
                     11,                 1.6964,                 1.8871,                 1.9069,                0.62889,                0.56575,                0.61716,                0.27922,                 1.8439,                 1.6647,                 2.1023,              0.0018002,              0.0018002,              0.0018002
                     12,                 1.6829,                 1.8744,                 1.8914,                0.60537,                 0.5043,                0.53942,                0.26743,                 1.7721,                 1.8524,                 2.1314,              0.0017802,              0.0017802,              0.0017802
                     13,                  1.668,                 1.8502,                 1.8846,                 0.6183,                0.63303,                0.63227,                0.31005,                  1.657,                 1.8513,                 1.9611,              0.0017602,              0.0017602,              0.0017602
